Date,Open,High,Low,Close,Volume,AdjClose
02/07/12,29.85,30.15,29.8,30.04,24180600,30.04
02/06/12,29.83,29.98,29.69,29.97,23567300,29.97
02/03/12,29.97,30.07,29.86,29.95,26294400,29.95
02/02/12,29.87,29.91,29.72,29.79,25698100,29.79
02/01/12,29.91,29.93,29.58,29.6,30615800,29.6
01/31/12,29.54,29.54,29.23,29.41,29371200,29.41
01/30/12,29.12,29.38,29.02,29.34,29433400,29.34
01/27/12,29.49,29.53,29.15,29.16,36358500,29.16
01/26/12,29.9,29.98,29.38,29.45,56003200,29.45
01/25/12,30.06,30.24,29.71,30.21,28136800,30.21
01/24/12,30.2,30.2,29.92,30.09,24341100,30.09
01/23/12,30.51,30.56,30.26,30.4,19186300,30.4
01/20/12,30.42,30.52,30.35,30.51,26445100,30.51
01/19/12,30.32,30.45,30.3,30.42,25524000,30.42
01/18/12,30.32,30.35,30.15,30.33,22015000,30.33
01/17/12,30.3,30.47,30.17,30.25,23500200,30.25
01/13/12,30.05,30.1,29.81,30.07,22096800,30.07
01/12/12,30.08,30.25,30.01,30.12,26511100,30.12
01/11/12,29.73,30.03,29.73,29.99,23700600,29.99
01/10/12,29.8,29.92,29.74,29.76,29064200,29.76
01/09/12,29.81,29.85,29.5,29.66,26790100,29.66
01/06/12,30.07,30.09,29.6,29.68,45580800,29.68
01/05/12,30.49,30.5,30.18,30.4,34457000,29.96
01/04/12,30.58,30.68,30.35,30.43,37213900,29.99
01/03/12,30.46,30.54,30.3,30.38,33005300,29.94
12/30/11,30.1,30.3,30.08,30.24,15687800,29.8
12/29/11,30.05,30.19,29.95,30.17,17747500,29.73
12/28/11,30.05,30.16,29.91,29.95,16707700,29.52
12/27/11,29.92,30.16,29.84,30.04,16462300,29.61
12/23/11,29.72,29.98,29.72,29.87,18131500,29.44
12/22/11,29.44,29.82,29.3,29.66,30343000,29.23
12/21/11,29.15,29.3,29.03,29.3,27610300,28.88
12/20/11,28.84,29.16,28.77,29.12,33607200,28.7
12/19/11,28.98,29.06,28.65,28.74,19015400,28.32
12/16/11,28.55,28.85,28.51,28.85,44929300,28.43
12/15/11,28.99,29.02,28.71,28.79,25849000,28.37
12/14/11,29.01,29.19,28.78,28.81,22676100,28.39
12/13/11,29.06,29.25,28.95,29.04,21906400,28.62
12/12/11,29.02,29.08,28.92,29.01,25795900,28.59
12/09/11,29.08,29.1,28.8,29.03,24357500,28.61
12/08/11,29.23,29.24,28.81,28.86,22568200,28.44
