Date,Open,High,Low,Close,Volume,Adj Close
2012-02-07,46.23,46.70,45.69,46.60,11373200,46.60
2012-02-06,46.12,46.91,45.96,46.87,8785400,46.87
2012-02-03,45.54,46.76,45.53,46.57,12074800,46.57
2012-02-02,45.26,45.66,45.22,45.53,7513300,45.53
2012-02-01,45.81,46.10,45.55,45.55,11902000,45.55
2012-01-31,44.89,46.03,44.56,45.91,23364500,45.91
2012-01-30,42.91,44.16,42.84,44.14,10780900,44.14
2012-01-27,43.82,44.18,43.66,43.70,8780000,43.70
2012-01-26,44.98,45.11,44.70,44.77,6681200,44.77
2012-01-25,44.36,44.95,44.10,44.90,5846400,44.90
2012-01-24,44.51,44.75,44.28,44.70,6135500,44.70
2012-01-23,44.46,44.74,44.33,44.63,6455300,44.63
2012-01-20,43.64,44.04,43.52,44.02,9085400,44.02
2012-01-19,44.81,44.89,44.53,44.71,7487300,44.71
2012-01-18,44.19,44.60,44.11,44.56,5602700,44.56
2012-01-17,44.68,44.72,43.99,44.24,5930600,44.24
2012-01-13,43.48,43.83,43.36,43.77,4711400,43.77
2012-01-12,43.91,44.40,43.90,44.20,5863200,44.20
2012-01-11,43.72,44.10,43.58,44.06,6427000,44.06
2012-01-10,44.72,44.75,44.35,44.39,6711600,44.39
2012-01-09,44.02,44.09,43.75,44.07,3641400,44.07
2012-01-06,44.58,44.59,43.92,44.08,5976000,44.08
2012-01-05,44.25,44.42,44.06,44.25,5570700,44.25
2012-01-04,44.47,44.77,44.20,44.75,6883900,44.75
2012-01-03,43.79,44.30,43.74,44.14,7315800,44.14
2011-12-30,42.53,42.84,42.53,42.74,2589700,42.74
2011-12-29,42.34,42.68,42.25,42.63,2737500,42.63
2011-12-28,42.93,43.04,42.33,42.36,2872000,42.36
2011-12-27,43.07,43.46,43.02,43.14,2257600,43.14
2011-12-23,43.12,43.30,42.89,43.28,2946300,43.28
2011-12-22,42.37,43.09,42.23,42.96,6355600,42.96
2011-12-21,41.48,41.90,41.21,41.74,6192900,41.74
2011-12-20,41.21,42.00,41.21,41.89,5307300,41.89
2011-12-19,40.72,41.15,40.40,40.49,6250000,40.49
2011-12-16,41.44,41.76,41.26,41.39,5954000,41.39
2011-12-15,41.80,42.15,41.30,41.39,6452300,41.39
2011-12-14,41.36,41.50,40.75,41.10,6190800,41.10
2011-12-13,42.31,42.79,41.28,41.63,6266700,41.63
2011-12-12,42.05,42.06,41.49,41.83,5052600,41.83
2011-12-09,42.15,42.88,42.09,42.71,5356600,42.71
2011-12-08,42.29,42.52,41.97,42.07,5254000,42.07
2011-12-07,43.45,43.53,42.88,43.03,6662500,43.03
2011-12-06,43.81,43.93,43.47,43.56,5008300,43.56
2011-12-05,44.18,44.26,43.34,43.57,6263800,43.57
2011-12-02,43.46,43.89,43.18,43.29,6132300,43.29
2011-12-01,43.18,43.40,42.67,42.75,4940500,42.75
2011-11-30,43.40,43.86,43.11,43.55,12423900,43.55
2011-11-29,40.83,41.28,40.68,41.00,4582800,41.00
2011-11-28,40.74,41.10,40.60,40.82,4942700,40.82
2011-11-25,39.51,40.06,39.41,39.41,2827000,39.41
2011-11-23,40.19,40.33,39.60,39.68,9718400,39.68
2011-11-22,41.29,41.62,40.94,41.12,6823200,41.12
2011-11-21,41.76,41.89,41.21,41.70,6334900,41.70
2011-11-18,42.62,42.93,42.41,42.48,4727800,42.48
2011-11-17,43.00,43.33,42.32,42.63,7040400,42.63
2011-11-16,43.47,44.31,43.41,43.51,4871300,43.51
2011-11-15,43.68,44.02,43.30,43.70,5044700,43.70
2011-11-14,43.92,44.04,43.47,43.57,3500800,43.57
2011-11-11,43.71,44.31,43.70,44.01,5833000,44.01
2011-11-10,43.18,43.42,42.40,43.10,5665900,43.10
2011-11-09,42.95,43.38,42.24,42.43,10758300,42.43
2011-11-08,44.67,44.89,44.05,44.70,5679300,44.70
2011-11-07,43.45,44.06,43.40,44.00,7964300,44.00
2011-11-04,43.34,44.00,43.13,43.85,5478500,43.85
2011-11-03,43.85,44.14,43.16,44.02,6178200,44.02
2011-11-02,42.92,43.64,42.86,43.41,10065800,43.41
2011-11-01,41.91,43.24,41.72,42.72,15025500,42.30
2011-10-31,44.85,45.28,44.15,44.18,8608900,43.75
2011-10-28,44.88,45.55,44.87,45.50,8045100,45.05
2011-10-27,45.17,45.84,44.76,45.43,13456300,44.98
2011-10-26,43.97,44.79,43.32,44.65,18040600,44.21
2011-10-25,43.45,44.01,42.84,43.52,17175000,43.09
2011-10-24,41.32,42.12,41.32,41.84,9613400,41.43
2011-10-21,41.56,42.47,41.50,42.35,10835800,41.93
2011-10-20,40.81,41.51,40.25,41.32,10185300,40.91
2011-10-19,41.32,41.52,40.63,40.78,7938200,40.38
2011-10-18,40.67,41.37,40.09,41.11,8055100,40.71
2011-10-17,40.82,40.82,39.91,40.17,10406300,39.78
2011-10-14,39.46,39.90,39.17,39.88,5799800,39.49
2011-10-13,38.19,38.94,37.97,38.75,5807000,38.37
2011-10-12,38.79,39.26,38.62,38.63,7452900,38.25
2011-10-11,37.75,38.39,37.75,38.36,7806800,37.98
2011-10-10,37.80,38.32,37.60,38.31,6615100,37.93
2011-10-07,37.31,37.49,36.82,37.11,12024800,36.75
2011-10-06,35.66,36.81,35.43,36.78,12472700,36.42
2011-10-05,35.69,36.82,35.46,36.70,8817900,36.34
2011-10-04,34.59,35.48,33.62,35.42,16000000,35.07
2011-10-03,35.89,36.20,35.16,35.22,10119000,34.87
2011-09-30,36.32,36.71,36.02,36.07,9217100,35.72
2011-09-29,37.21,37.29,36.38,37.01,7979100,36.65
2011-09-28,37.88,38.07,36.42,36.43,8093600,36.07
2011-09-27,37.98,38.46,37.72,37.94,9625100,37.57
2011-09-26,36.23,36.96,35.65,36.93,8436600,36.57
2011-09-23,35.21,35.99,35.10,35.86,8911500,35.51
2011-09-22,35.57,35.87,35.24,35.73,11810500,35.38
2011-09-21,38.43,38.53,36.89,36.90,8178600,36.54
2011-09-20,38.89,39.39,38.45,38.77,5921500,38.39
2011-09-19,38.57,38.89,38.15,38.61,8069600,38.23
2011-09-16,39.41,39.72,39.34,39.69,10298100,39.30
2011-09-15,39.03,39.60,38.89,39.52,14571200,39.13
2011-09-14,38.00,38.59,37.27,38.29,18957600,37.91
2011-09-13,36.17,36.74,35.95,36.45,11701800,36.09
2011-09-12,35.24,36.47,35.21,36.43,10267000,36.07
2011-09-09,36.47,36.66,35.94,36.00,10418500,35.65
2011-09-08,37.05,37.65,36.98,37.08,6260900,36.72
2011-09-07,36.99,37.37,36.80,37.29,7084400,36.92
2011-09-06,35.19,36.42,35.15,36.39,13022500,36.03
2011-09-02,36.04,36.71,35.91,36.53,20208700,36.17
2011-09-01,38.73,38.75,37.60,37.79,23184100,37.42
2011-08-31,39.27,39.72,39.19,39.39,7978700,39.00
2011-08-30,38.86,39.50,38.36,39.39,7195000,39.00
2011-08-29,38.78,39.25,38.70,39.25,4940500,38.86
2011-08-26,37.24,38.44,36.80,38.19,12675100,37.81
2011-08-25,38.51,38.72,37.31,37.47,20558300,37.10
2011-08-24,39.43,39.95,38.97,39.55,6466100,39.16
2011-08-23,39.12,39.84,38.80,39.83,8361600,39.44
2011-08-22,39.77,39.77,38.25,38.35,8420900,37.97
2011-08-19,38.72,39.54,38.41,38.46,10640500,38.08
2011-08-18,39.99,40.05,38.95,39.32,14288700,38.93
2011-08-17,41.09,41.59,40.75,40.90,8110100,40.50
