Date,Open,High,Low,Close,Volume,Adj Close
2012-02-07,68.09,69.45,67.63,68.55,12134800,68.55
2012-02-06,67.84,68.23,67.70,68.03,7293200,68.03
2012-02-03,68.26,68.49,67.84,68.08,8277900,68.08
2012-02-02,68.07,68.24,67.75,67.83,6575000,67.83
2012-02-01,67.88,68.34,67.80,67.85,7457500,67.85
2012-01-31,67.98,67.98,67.18,67.53,6771700,67.53
2012-01-30,67.29,67.57,67.03,67.46,5295800,67.46
2012-01-27,67.91,68.14,67.23,67.44,8412500,67.44
2012-01-26,68.62,68.62,67.76,68.01,7360500,68.01
2012-01-25,67.91,68.50,67.54,68.43,7238000,68.43
2012-01-24,68.16,68.50,67.71,67.90,7375600,67.90
2012-01-23,68.00,68.62,67.91,68.53,6901600,68.53
2012-01-20,67.54,68.12,67.40,68.09,9579300,68.09
2012-01-19,67.65,67.74,67.26,67.45,6772400,67.45
2012-01-18,67.46,67.82,67.18,67.59,6641100,67.59
2012-01-17,67.74,67.88,67.32,67.35,7788500,67.35
2012-01-13,67.34,67.43,66.57,66.99,9995900,66.99
2012-01-12,68.42,68.50,67.35,67.57,7618500,67.57
2012-01-11,68.37,68.77,67.55,68.06,11714400,68.06
2012-01-10,69.47,69.52,69.11,69.34,6482200,69.34
2012-01-09,69.00,69.17,68.80,68.93,5261300,68.93
2012-01-06,69.47,69.63,68.62,68.93,6823300,68.93
2012-01-05,69.76,69.87,69.35,69.37,7143800,69.37
2012-01-04,69.91,70.07,69.50,69.70,7119600,69.70
2012-01-03,70.15,70.71,70.10,70.14,7819800,70.14
2011-12-30,70.00,70.29,69.97,69.97,3931000,69.97
2011-12-29,69.60,70.19,69.51,70.16,4367000,70.16
2011-12-28,69.82,70.05,69.40,69.51,4105000,69.51
2011-12-27,69.81,70.20,69.81,69.88,5049900,69.88
2011-12-23,69.23,69.97,69.21,69.94,4627600,69.94
2011-12-22,69.34,69.60,68.89,69.19,7793400,69.19
2011-12-21,68.52,69.80,68.32,69.57,9365200,69.57
2011-12-20,67.88,68.64,67.83,68.40,7965500,68.40
2011-12-19,67.46,67.87,67.22,67.37,5881000,67.37
2011-12-16,67.47,67.72,67.26,67.44,11978600,67.44
2011-12-15,66.91,67.39,66.79,66.89,6737300,66.89
2011-12-14,66.25,66.91,66.07,66.26,7881100,66.26
2011-12-13,67.09,67.27,66.29,66.48,7138100,66.48
2011-12-12,67.26,67.50,66.32,66.89,6690100,66.89
2011-12-09,67.11,67.75,66.92,67.57,9149100,67.57
2011-12-08,66.70,67.24,66.56,66.73,8059100,66.73
2011-12-07,66.55,67.07,66.20,66.78,8416400,66.78
2011-12-06,66.49,67.02,66.14,66.68,8365400,66.68
2011-12-05,66.94,67.19,65.88,66.31,8977600,66.31
2011-12-02,67.46,67.55,66.17,66.38,10585200,66.38
2011-12-01,67.00,67.58,66.68,66.83,7714500,66.83
2011-11-30,67.34,67.96,66.72,67.23,12650200,67.23
2011-11-29,65.17,66.50,65.01,66.19,10828100,66.19
2011-11-28,65.26,65.75,64.75,65.17,10659100,64.70
2011-11-25,65.15,65.36,64.74,64.74,3786300,64.27
2011-11-23,65.46,65.50,64.80,64.87,7044800,64.40
2011-11-22,65.61,66.36,65.54,65.97,5893800,65.49
2011-11-21,66.69,66.88,65.39,65.95,9294100,65.47
2011-11-18,67.21,67.71,66.90,67.39,9344200,66.90
2011-11-17,66.94,67.39,66.10,66.62,8733600,66.14
2011-11-16,67.67,67.80,66.91,67.01,8890700,66.53
2011-11-15,67.78,68.45,67.48,68.00,6108800,67.51
2011-11-14,67.79,67.97,67.42,67.79,4714300,67.30
2011-11-11,67.97,68.61,67.95,68.12,6441200,67.63
2011-11-10,67.61,67.75,66.91,67.39,8100800,66.90
2011-11-09,67.85,67.99,66.86,67.03,9121700,66.55
2011-11-08,68.29,68.72,67.80,68.65,6031800,68.15
2011-11-07,67.66,68.27,67.28,68.21,6256900,67.72
2011-11-04,67.96,68.15,67.29,67.78,7588600,67.29
2011-11-03,68.10,68.82,68.01,68.65,8681700,68.15
2011-11-02,67.42,68.06,67.35,67.77,7269300,67.28
2011-11-01,67.13,67.50,66.78,67.04,11841400,66.56
2011-10-31,68.65,69.05,68.29,68.32,9499300,67.83
2011-10-28,68.52,68.98,68.39,68.93,8653700,68.43
2011-10-27,68.93,69.09,68.10,68.57,13352300,68.08
2011-10-26,67.29,67.54,66.41,67.47,8020600,66.98
2011-10-25,67.91,67.93,66.80,66.95,7114100,66.47
2011-10-24,68.40,68.65,67.61,67.87,6804600,67.38
2011-10-21,67.94,68.32,67.46,68.19,11573300,67.70
2011-10-20,67.49,67.58,66.57,67.12,6661800,66.64
2011-10-19,66.99,67.82,66.87,67.03,7694700,66.55
2011-10-18,67.24,67.49,66.40,66.74,11825300,66.26
2011-10-17,67.82,67.85,66.82,67.00,10116400,66.52
2011-10-14,68.20,68.20,67.35,67.85,6751500,67.36
2011-10-13,67.31,67.58,66.89,67.40,6454700,66.91
2011-10-12,67.25,67.97,66.79,67.48,8774800,66.99
2011-10-11,66.73,67.20,66.59,66.80,5580500,66.32
2011-10-10,66.56,66.93,66.01,66.90,6177200,66.42
2011-10-07,66.51,66.51,65.39,65.90,9428900,65.42
2011-10-06,65.97,66.00,64.45,65.39,12602700,64.92
2011-10-05,65.47,65.60,64.55,65.53,11518900,65.06
2011-10-04,64.84,65.43,63.34,65.23,15400000,64.76
2011-10-03,66.59,66.92,65.12,65.42,19235600,64.95
2011-09-30,68.45,69.10,67.56,67.56,12513100,67.07
2011-09-29,68.91,69.64,68.19,69.05,10686300,68.55
2011-09-28,69.82,70.16,67.89,68.06,9516300,67.57
2011-09-27,70.12,70.41,69.28,69.57,11124600,69.07
2011-09-26,68.01,68.89,67.66,68.76,12004100,68.26
2011-09-23,67.36,67.71,66.87,67.42,12142200,66.93
2011-09-22,67.37,68.15,66.62,67.82,18170500,67.33
2011-09-21,70.85,71.07,69.27,69.28,11765500,68.78
2011-09-20,70.79,71.48,70.52,70.65,9156700,70.14
2011-09-19,70.07,70.69,69.95,70.49,14285600,69.98
2011-09-16,71.38,71.68,71.02,71.23,17310300,70.72
2011-09-15,69.91,71.02,69.85,71.02,10593000,70.51
2011-09-14,69.34,70.50,68.54,69.77,11125000,69.27
2011-09-13,68.96,69.33,68.58,69.10,10710900,68.60
2011-09-12,68.45,69.54,68.20,69.38,14572100,68.41
2011-09-09,70.61,70.65,68.73,69.37,16445600,68.40
2011-09-08,70.66,71.77,70.55,71.17,12433800,70.18
2011-09-07,70.01,70.85,69.91,70.80,10643700,69.81
2011-09-06,67.43,69.54,67.39,69.43,12892300,68.46
2011-09-02,69.72,69.99,69.50,69.74,8765000,68.77
2011-09-01,70.09,71.10,69.78,70.45,11765000,69.47
2011-08-31,69.87,70.77,69.66,70.45,11161400,69.47
2011-08-30,69.78,70.28,69.52,69.86,15839000,68.89
2011-08-29,68.96,69.85,68.87,69.73,8830300,68.76
2011-08-26,67.93,68.77,66.70,68.50,9924800,67.55
2011-08-25,69.60,69.60,67.76,67.97,12660000,67.02
2011-08-24,68.83,69.71,68.55,69.68,9737700,68.71
2011-08-23,67.47,69.06,67.32,69.06,11975600,68.10
2011-08-22,68.01,68.06,67.17,67.27,9826400,66.33
2011-08-19,67.53,68.28,66.86,67.10,15239100,66.16
2011-08-18,68.25,68.94,67.06,67.76,19784500,66.82
2011-08-17,68.46,69.35,68.16,69.28,11588000,68.31
2011-08-16,67.69,68.48,67.57,68.17,10706900,67.22
2011-08-15,67.47,68.42,67.26,68.20,11540800,67.25
2011-08-12,66.76,67.75,66.40,67.14,10155200,66.20
2011-08-11,64.00,67.31,63.91,66.47,19203300,65.54
2011-08-10,66.24,66.50,63.70,63.96,19118600,63.07
2011-08-09,65.82,66.87,63.59,66.68,21564200,65.75
2011-08-08,66.18,67.21,64.95,65.12,25048400,64.21
2011-08-05,66.27,67.26,65.04,66.77,21958300,65.84
2011-08-04,67.77,68.13,65.74,65.82,16162400,64.90
2011-08-03,67.00,68.56,66.95,68.40,14043000,67.45
2011-08-02,67.40,67.61,67.07,67.07,9063800,66.14
