Date,Open,High,Low,Close,Volume,Adj Close
2012-02-07,25.80,25.94,25.58,25.85,2129100,25.85
2012-02-06,25.91,25.98,25.78,25.91,2820200,25.91
2012-02-03,25.74,26.00,25.68,25.96,2665100,25.96
2012-02-02,25.74,25.77,25.49,25.49,2531700,25.49
2012-02-01,25.69,25.98,25.48,25.69,2886000,25.69
2012-01-31,25.49,25.51,25.23,25.51,4901300,25.51
2012-01-30,25.09,25.49,24.76,25.35,3481100,25.35
2012-01-27,25.21,25.57,25.19,25.26,4007700,25.26
2012-01-26,25.41,25.77,25.18,25.30,5125300,25.30
2012-01-25,25.26,25.28,24.97,25.15,8736400,25.15
2012-01-24,25.20,25.36,25.07,25.20,2380600,25.20
2012-01-23,25.23,25.71,25.23,25.40,4191100,25.40
2012-01-20,25.24,25.44,25.12,25.38,1734800,25.38
2012-01-19,25.13,25.32,25.08,25.23,2069100,25.23
2012-01-18,25.00,25.22,24.79,25.15,3506600,25.15
2012-01-17,25.02,25.30,24.88,24.95,4781500,24.95
2012-01-13,24.74,24.99,24.62,24.82,3098500,24.82
2012-01-12,24.88,25.10,24.86,25.00,2399600,25.00
2012-01-11,24.88,25.06,24.74,24.89,3561600,24.89
2012-01-10,24.96,25.23,24.86,24.89,4127500,24.89
2012-01-09,24.35,24.93,24.35,24.80,3843100,24.80
2012-01-06,24.44,24.57,24.18,24.30,1502200,24.30
2012-01-05,24.12,24.63,24.10,24.52,3267900,24.52
2012-01-04,24.09,24.38,24.09,24.30,4113500,24.30
2012-01-03,24.00,24.43,23.97,24.21,5719600,24.21
2011-12-30,23.45,23.71,23.45,23.56,1458400,23.56
2011-12-29,23.47,23.71,23.35,23.66,2130000,23.55
2011-12-28,23.64,23.64,23.18,23.30,1439600,23.19
2011-12-27,23.69,23.71,23.47,23.60,2699900,23.49
2011-12-23,23.59,23.76,23.48,23.61,3881500,23.50
2011-12-22,23.50,23.54,23.30,23.45,2586100,23.34
2011-12-21,23.27,23.51,23.13,23.44,2999200,23.33
2011-12-20,23.09,23.48,22.92,23.25,3065500,23.14
2011-12-19,23.11,23.23,22.56,22.71,3615800,22.60
2011-12-16,23.08,23.75,23.02,23.15,3961000,23.04
2011-12-15,23.13,23.37,23.04,23.07,3572800,22.96
2011-12-14,22.98,23.14,22.82,22.99,4605900,22.88
2011-12-13,23.28,23.47,22.97,23.04,8173000,22.93
2011-12-12,22.29,23.18,22.19,23.09,3516500,22.98
2011-12-09,22.31,22.70,22.31,22.54,2400300,22.43
2011-12-08,22.75,22.82,22.23,22.27,4115000,22.16
2011-12-07,22.79,23.13,22.58,23.00,5614300,22.89
2011-12-06,22.97,23.24,22.86,22.96,3935500,22.85
2011-12-05,23.57,23.68,22.79,22.92,5205600,22.81
2011-12-02,23.05,23.44,22.66,23.19,3663900,23.08
2011-12-01,22.38,22.58,22.24,22.38,2217000,22.27
2011-11-30,22.18,22.70,22.08,22.36,4379100,22.25
2011-11-29,21.53,21.79,21.48,21.56,3277400,21.46
2011-11-28,21.37,21.64,21.16,21.49,3027800,21.39
2011-11-25,20.79,21.08,20.69,20.81,1798400,20.71
2011-11-23,20.88,21.11,20.88,20.89,3429100,20.79
2011-11-22,21.13,21.30,20.90,21.19,4265900,21.09
2011-11-21,20.81,21.40,20.80,21.28,5225300,21.18
2011-11-18,21.24,21.29,20.91,21.21,4286000,21.11
2011-11-17,21.35,21.54,20.97,21.08,4828400,20.98
2011-11-16,21.80,21.94,21.28,21.32,4824300,21.22
2011-11-15,21.95,22.26,21.84,22.15,3019700,22.04
2011-11-14,22.19,22.38,21.90,21.97,3773100,21.87
2011-11-11,22.23,22.55,22.10,22.30,3147400,22.19
2011-11-10,21.55,22.09,21.51,22.00,4388700,21.89
2011-11-09,21.95,21.95,21.28,21.38,4707200,21.28
2011-11-08,22.43,22.62,21.92,22.48,2822200,22.37
2011-11-07,22.43,22.51,22.05,22.37,3923100,22.26
2011-11-04,22.78,22.87,22.34,22.43,6270600,22.32
2011-11-03,22.97,23.17,22.53,23.06,3822100,22.95
2011-11-02,23.02,23.48,22.64,22.75,4388000,22.64
2011-11-01,22.41,22.94,22.07,22.66,7730600,22.55
2011-10-31,23.21,23.32,22.88,23.00,4399400,22.89
2011-10-28,23.86,24.08,23.08,23.33,11148800,23.22
2011-10-27,24.70,24.84,23.55,24.12,6445500,24.00
2011-10-26,23.97,24.53,23.78,24.34,5591900,24.22
2011-10-25,24.14,24.23,23.81,23.85,3945000,23.74
2011-10-24,23.87,24.38,23.87,24.28,4881100,24.16
2011-10-21,23.44,24.00,23.41,23.94,3142000,23.83
2011-10-20,23.19,23.51,22.75,23.23,4344200,23.12
2011-10-19,23.45,23.69,22.93,23.24,7606700,23.13
2011-10-18,23.13,23.71,22.77,23.51,6885300,23.40
2011-10-17,23.66,23.66,22.96,23.17,4262800,23.06
2011-10-14,23.65,23.77,23.26,23.66,3361700,23.55
2011-10-13,23.26,23.52,23.12,23.30,6071800,23.19
2011-10-12,22.97,23.61,22.80,23.41,3705200,23.30
2011-10-11,22.70,23.04,22.67,22.80,3117600,22.69
2011-10-10,22.32,22.83,22.23,22.81,2615900,22.70
2011-10-07,22.07,22.16,21.70,21.85,5680500,21.75
2011-10-06,21.38,21.95,21.34,21.93,3826800,21.83
2011-10-05,20.95,21.48,20.67,21.44,4225300,21.34
2011-10-04,19.89,20.96,19.55,20.94,8066200,20.84
2011-10-03,20.46,20.97,20.15,20.17,6418600,20.07
2011-09-30,21.09,21.27,20.65,20.72,5913200,20.51
2011-09-29,22.01,22.21,21.09,21.43,4882000,21.21
2011-09-28,22.13,22.59,21.64,21.69,4302800,21.47
2011-09-27,22.00,22.53,21.90,22.07,3841300,21.84
2011-09-26,21.30,21.69,20.97,21.65,3649400,21.43
2011-09-23,20.69,21.23,20.36,21.12,4459600,20.90
2011-09-22,20.95,21.18,20.41,20.76,8246200,20.55
2011-09-21,22.32,22.43,21.61,21.61,5905900,21.39
2011-09-20,22.68,23.07,22.40,22.40,4662800,22.17
2011-09-19,22.26,22.67,22.13,22.60,3291700,22.37
2011-09-16,22.30,22.65,22.19,22.62,3359400,22.39
2011-09-15,22.01,22.39,21.91,22.34,4862300,22.11
2011-09-14,21.67,22.02,21.35,21.74,4741000,21.52
2011-09-13,20.84,21.60,20.78,21.51,7111100,21.29
2011-09-12,20.18,20.81,20.14,20.76,4383500,20.55
2011-09-09,20.97,20.97,20.35,20.53,8052100,20.32
2011-09-08,21.02,21.38,21.02,21.07,9058300,20.86
2011-09-07,20.72,21.23,20.64,21.20,3264200,20.98
2011-09-06,20.22,20.56,20.05,20.52,4295600,20.31
2011-09-02,21.00,21.11,20.64,20.80,3579300,20.59
2011-09-01,21.26,21.63,21.11,21.45,4467500,21.23
2011-08-31,21.12,21.51,20.92,21.15,6838500,20.93
2011-08-30,20.96,21.14,20.75,21.01,4815600,20.80
2011-08-29,20.60,20.99,20.50,20.98,2359800,20.77
2011-08-26,20.08,20.49,19.39,20.37,6645300,20.16
2011-08-25,20.31,20.51,19.95,20.04,5956500,19.84
2011-08-24,19.84,20.39,19.69,20.30,5671800,20.09
2011-08-23,19.75,19.86,19.34,19.81,5339800,19.61
2011-08-22,20.19,20.22,19.50,19.58,4435300,19.38
2011-08-19,19.82,20.37,19.75,19.80,4551700,19.60
2011-08-18,20.52,20.65,19.89,20.07,8604900,19.87
2011-08-17,21.00,21.29,20.72,21.02,5018900,20.81
2011-08-16,20.76,21.02,20.58,20.94,5811000,20.73
2011-08-15,20.41,20.97,20.33,20.92,4413800,20.71
2011-08-12,20.31,20.40,20.01,20.30,5981700,20.09
2011-08-11,19.40,20.50,19.11,20.23,9773300,20.02
2011-08-10,19.63,20.17,19.23,19.36,19691100,19.16
2011-08-09,20.08,20.28,18.74,20.16,12832300,19.95
2011-08-08,21.00,21.12,19.82,19.84,13256700,19.64
2011-08-05,21.40,21.87,20.53,21.23,9396200,21.01
2011-08-04,21.79,21.93,20.93,21.22,11838300,21.00
2011-08-03,22.31,22.38,21.67,22.19,10232400,21.96
2011-08-02,22.87,23.01,22.03,22.08,6952700,21.85
2011-08-01,23.61,23.63,22.89,23.14,5878700,22.90
2011-07-29,23.30,23.65,23.19,23.34,4342800,23.10
2011-07-28,23.80,23.90,23.43,23.56,6364700,23.32
2011-07-27,24.28,24.29,23.86,23.90,7611600,23.66
2011-07-26,24.15,24.50,24.09,24.33,3514000,24.08
2011-07-25,23.80,24.35,23.80,24.18,2948600,23.93
2011-07-22,23.83,24.15,23.74,24.07,2540600,23.82
2011-07-21,23.56,24.08,23.52,23.87,2807900,23.63
2011-07-20,23.74,23.85,23.37,23.44,3542600,23.20
2011-07-19,23.34,23.87,23.34,23.70,4384000,23.46
2011-07-18,23.30,23.34,22.93,23.19,4532200,22.95
2011-07-15,23.72,23.72,23.19,23.36,5322200,23.12
2011-07-14,24.10,24.17,23.56,23.63,10931200,23.39
2011-07-13,24.13,24.18,23.75,23.80,5262700,23.56
2011-07-12,24.14,24.26,23.83,23.88,4824900,23.64
2011-07-11,24.25,24.45,23.98,24.13,4810100,23.88
2011-07-08,24.27,24.55,24.14,24.48,4659800,24.23
2011-07-07,24.70,24.81,24.51,24.51,8151100,24.26
2011-07-06,24.77,24.93,24.48,24.55,3982600,24.30
2011-07-05,24.67,25.00,24.62,24.87,3203000,24.62
2011-07-01,24.23,24.67,24.08,24.60,3968800,24.35
2011-06-30,23.79,24.31,23.79,24.23,3963100,23.87
2011-06-29,23.68,23.98,23.61,23.79,4796100,23.44
2011-06-28,23.03,23.58,22.96,23.55,8731600,23.20
2011-06-27,22.54,23.19,22.43,23.02,4257900,22.68
2011-06-24,22.90,22.90,22.37,22.50,5408000,22.17
2011-06-23,22.58,22.64,22.27,22.63,8781600,22.29
2011-06-22,22.83,23.05,22.68,22.82,6650000,22.48
2011-06-21,22.65,22.89,22.44,22.86,4806500,22.52
2011-06-20,22.37,22.62,22.24,22.54,5530500,22.21
2011-06-17,22.39,22.45,22.26,22.42,8560500,22.09
2011-06-16,22.18,22.29,22.07,22.18,5567100,21.85
2011-06-15,22.36,22.47,22.09,22.17,3904400,21.84
2011-06-14,22.62,22.76,22.50,22.59,3380000,22.26
2011-06-13,22.39,22.63,22.29,22.39,3547000,22.06
2011-06-10,22.71,22.76,22.52,22.61,13815800,22.27
2011-06-09,22.79,22.96,22.68,22.94,2429400,22.60
2011-06-08,22.58,22.97,22.51,22.77,2730100,22.43
2011-06-07,22.65,23.06,22.55,22.66,10041300,22.32
2011-06-06,22.69,22.94,22.53,22.57,9131200,22.24
2011-06-03,22.87,23.10,22.65,22.84,6536100,22.50
2011-06-02,23.04,23.32,22.92,23.23,8230600,22.89
2011-06-01,23.54,23.54,22.93,22.99,6574700,22.65
2011-05-31,23.63,23.68,23.42,23.55,11361200,23.20
2011-05-27,23.44,23.66,23.36,23.43,3780500,23.08
2011-05-26,23.20,23.61,22.98,23.51,9387600,23.16
2011-05-25,22.96,23.12,22.75,22.96,3706500,22.62
2011-05-24,23.18,23.29,22.88,22.95,3911000,22.61
2011-05-23,23.45,23.45,22.96,23.15,5200000,22.81
2011-05-20,23.82,23.91,23.52,23.71,6214500,23.36
2011-05-19,23.85,23.96,23.61,23.89,4520700,23.54
2011-05-18,23.49,23.88,23.25,23.87,3040300,23.52
2011-05-17,23.19,23.54,23.14,23.51,3969300,23.16
2011-05-16,23.54,23.56,23.29,23.33,4381300,22.98
2011-05-13,24.02,24.02,23.54,23.66,5852500,23.31
2011-05-12,23.92,24.10,23.71,23.94,3000000,23.59
2011-05-11,24.05,24.14,23.68,24.04,4200000,23.68
2011-05-10,23.89,24.37,23.85,24.26,3064100,23.90
2011-05-09,23.87,24.05,23.67,23.77,4136900,23.42
2011-05-06,24.33,24.38,23.90,23.95,4807400,23.60
2011-05-05,24.27,24.47,23.89,24.07,6500000,23.71
2011-05-04,25.30,25.40,24.34,24.38,9592400,24.02
2011-05-03,25.04,25.18,24.66,24.91,7500000,24.54
2011-05-02,24.62,25.19,24.42,24.98,6531700,24.61
2011-04-29,24.42,24.55,24.29,24.55,3742700,24.19
2011-04-28,24.22,24.56,24.09,24.47,6100000,24.11
2011-04-27,24.00,24.28,23.91,24.20,4445000,23.84
2011-04-26,23.84,24.04,23.82,24.00,4300000,23.64
2011-04-25,23.75,23.79,23.54,23.78,2768100,23.43
2011-04-21,23.36,23.78,23.26,23.74,6708600,23.39
2011-04-20,23.13,23.38,23.08,23.29,6599800,22.94
2011-04-19,22.63,22.90,22.53,22.86,2582800,22.52
2011-04-18,22.64,22.90,22.50,22.59,3288200,22.26
2011-04-15,22.92,23.26,22.78,23.07,4401700,22.73
2011-04-14,22.62,23.04,22.47,22.90,4509200,22.56
2011-04-13,22.98,22.98,22.50,22.81,3880700,22.47
2011-04-12,22.90,23.09,22.78,22.91,4028400,22.57
2011-04-11,23.22,23.40,23.04,23.14,3007900,22.80
2011-04-08,23.36,23.50,23.13,23.25,2865800,22.91
2011-04-07,23.26,23.43,23.06,23.23,2902800,22.89
2011-04-06,23.72,23.72,23.25,23.34,4639000,22.99
2011-04-05,23.67,23.80,23.46,23.65,3994600,23.30
2011-04-04,23.64,23.74,23.40,23.67,3185200,23.32
2011-04-01,23.39,23.77,23.26,23.59,6094000,23.13
2011-03-31,23.13,23.31,22.98,23.22,3134300,22.77
2011-03-30,23.15,23.29,23.05,23.18,4957900,22.73
2011-03-29,22.91,23.19,22.81,23.07,4597300,22.62
2011-03-28,23.57,23.64,22.97,23.02,2631300,22.57
2011-03-25,23.37,23.67,23.26,23.54,3568800,23.08
2011-03-24,22.74,23.33,22.67,23.23,2587000,22.78
2011-03-23,22.46,22.73,22.24,22.65,4054400,22.21
2011-03-22,22.58,22.89,22.46,22.61,3200600,22.17
2011-03-21,22.65,22.86,22.47,22.68,5977300,22.24
2011-03-18,23.00,23.02,22.41,22.42,7789900,21.98
