Date,Open,High,Low,Close,Volume,Adj Close
2012-02-07,85.22,86.44,84.94,86.34,15818400,85.87
2012-02-06,84.87,85.85,84.49,85.75,15000900,85.28
2012-02-03,84.24,85.00,84.05,84.92,16145400,84.46
2012-02-02,84.28,84.34,83.19,83.53,18020500,83.08
2012-02-01,84.23,84.56,83.38,83.97,22266100,83.51
2012-01-31,84.92,85.34,83.46,83.74,27225800,83.28
2012-01-30,85.27,85.50,84.59,85.49,17867000,85.02
2012-01-27,86.24,86.50,85.77,85.83,15976700,85.36
2012-01-26,87.64,87.71,86.51,86.77,15658200,86.30
2012-01-25,86.77,87.38,85.81,87.22,18202300,86.75
2012-01-24,87.08,87.22,86.66,87.18,12363800,86.71
2012-01-23,87.50,87.94,87.03,87.47,15348400,86.99
2012-01-20,87.08,87.49,86.72,87.49,19220300,87.01
2012-01-19,86.34,87.24,85.77,87.03,16383500,86.56
2012-01-18,85.30,86.50,84.96,86.45,16754200,85.98
2012-01-17,85.75,86.13,85.40,85.69,15627900,85.22
2012-01-13,84.16,84.92,83.82,84.88,15551600,84.42
2012-01-12,84.39,84.92,83.94,84.74,17357200,84.28
2012-01-11,85.10,85.40,84.47,85.08,14831400,84.62
2012-01-10,86.07,86.21,85.38,85.72,13080800,85.25
2012-01-09,85.00,85.64,84.97,85.50,11664200,85.03
2012-01-06,85.92,86.00,85.11,85.12,15942100,84.66
2012-01-05,85.64,85.95,84.92,85.76,17452800,85.29
2012-01-04,85.79,86.15,85.10,86.02,16130900,85.55
2012-01-03,85.97,86.67,85.90,86.00,20906800,85.53
2011-12-30,85.16,85.29,84.57,84.76,9768900,84.30
2011-12-29,84.09,85.33,84.09,85.27,10865900,84.81
2011-12-28,85.15,85.44,84.01,84.18,12767500,83.72
2011-12-27,84.97,85.63,84.95,85.28,10147100,84.82
2011-12-23,84.28,85.23,84.21,85.22,10243800,84.76
2011-12-22,83.56,84.83,83.30,84.29,19841300,83.83
2011-12-21,82.02,83.34,82.00,83.12,19160300,82.67
2011-12-20,80.66,82.00,80.61,82.00,21163300,81.55
2011-12-19,80.24,80.46,79.38,79.53,16048400,79.10
2011-12-16,80.74,80.91,79.88,80.16,33465700,79.72
2011-12-15,79.93,80.60,79.78,80.03,17954200,79.59
2011-12-14,79.59,80.17,78.66,79.44,23934400,79.01
2011-12-13,80.61,81.81,80.14,80.53,21873600,80.09
2011-12-12,80.73,81.09,79.21,80.05,17846500,79.61
2011-12-09,80.63,81.75,80.34,81.34,21842300,80.90
2011-12-08,80.75,80.85,79.55,79.87,18443600,79.44
2011-12-07,80.61,81.86,80.35,81.08,19643400,80.64
2011-12-06,80.63,81.64,80.29,80.82,20122700,80.38
2011-12-05,80.88,81.18,79.80,80.45,18295000,80.01
2011-12-02,80.67,80.74,79.65,79.79,19461300,79.36
2011-12-01,80.20,80.35,79.37,79.79,17261100,79.36
2011-11-30,78.42,80.53,78.37,80.44,33953000,80.00
2011-11-29,76.41,77.50,76.14,76.93,19768400,76.51
2011-11-28,75.84,76.51,75.33,75.84,20148600,75.43
2011-11-25,74.51,75.20,73.90,73.90,10254500,73.50
2011-11-23,75.03,75.32,74.53,74.58,23331800,74.17
2011-11-22,76.38,77.10,75.88,76.03,18925100,75.62
2011-11-21,76.53,77.33,76.06,76.91,20204200,76.49
2011-11-18,78.22,78.68,77.11,77.90,23104500,77.48
2011-11-17,78.12,79.43,77.10,77.86,25964300,77.44
2011-11-16,78.24,79.75,78.06,78.25,20376800,77.82
2011-11-15,78.86,79.85,78.50,79.09,19475000,78.66
2011-11-14,79.53,79.75,78.39,78.96,13589900,78.53
2011-11-11,79.63,79.95,79.34,79.72,15134500,79.29
2011-11-10,78.53,79.02,77.64,78.70,18668800,78.27
2011-11-09,77.90,78.92,77.03,77.39,24130100,76.97
2011-11-08,79.25,79.88,78.63,79.76,19023800,79.33
2011-11-07,78.82,79.49,78.12,79.35,17998100,78.45
2011-11-04,78.07,78.61,77.38,78.52,18192800,77.63
2011-11-03,78.19,79.00,77.44,78.86,24480600,77.97
2011-11-02,77.37,77.59,76.50,77.37,21773200,76.49
2011-11-01,75.82,77.11,75.45,75.94,35835000,75.08
2011-10-31,80.59,80.64,78.00,78.09,30616900,77.20
2011-10-28,80.99,81.99,80.44,81.48,21753400,80.56
2011-10-27,81.91,82.20,80.69,81.88,35489500,80.95
2011-10-26,80.16,81.27,79.28,81.07,27170500,80.15
2011-10-25,79.83,80.49,79.05,79.44,23433400,78.54
2011-10-24,79.92,80.50,79.55,80.17,19861100,79.26
2011-10-21,79.59,80.16,79.18,80.13,27855300,79.22
2011-10-20,78.32,79.11,77.83,78.71,22227600,77.82
2011-10-19,78.57,79.24,77.92,78.43,20910900,77.54
2011-10-18,77.57,79.51,77.02,78.89,23878500,78.00
2011-10-17,77.87,78.49,77.12,77.47,18836200,76.59
2011-10-14,77.10,78.23,77.07,78.11,17870600,77.22
2011-10-13,76.22,76.79,75.84,76.37,19540300,75.50
2011-10-12,76.74,77.66,76.31,77.16,22239000,76.29
2011-10-11,75.78,76.67,75.71,76.27,17862100,75.41
2011-10-10,74.73,76.29,74.65,76.28,20465800,75.42
2011-10-07,74.47,74.52,73.03,73.56,23573900,72.73
