Date,Open,High,Low,Close,Volume,Adj Close
2012-02-07,2.06,2.13,2.00,2.05,14200,2.05
2012-02-06,1.98,2.14,1.95,2.06,33800,2.06
2012-02-03,1.92,2.16,1.92,2.01,55000,2.01
2012-02-02,1.95,2.02,1.93,1.93,20300,1.93
2012-02-01,1.96,2.04,1.93,1.96,31500,1.96
2012-01-31,1.93,1.99,1.93,1.95,3400,1.95
2012-01-30,1.92,1.99,1.92,1.95,9900,1.95
2012-01-27,1.94,2.00,1.92,1.93,8900,1.93
2012-01-26,1.94,2.00,1.94,1.97,9000,1.97
2012-01-25,2.00,2.00,1.91,1.97,11600,1.97
2012-01-24,1.96,1.99,1.86,1.97,7400,1.97
2012-01-23,1.99,1.99,1.90,1.99,13400,1.99
2012-01-20,1.88,1.99,1.85,1.99,17100,1.99
2012-01-19,1.88,1.95,1.88,1.90,16600,1.90
2012-01-18,1.90,1.90,1.86,1.90,8400,1.90
2012-01-17,1.88,2.00,1.85,1.86,38100,1.86
2012-01-13,1.94,2.00,1.85,1.93,30000,1.93
2012-01-12,1.96,2.04,1.87,2.02,47800,2.02
2012-01-11,1.77,1.96,1.75,1.90,60200,1.90
2012-01-10,1.77,1.77,1.73,1.77,11100,1.77
2012-01-09,1.72,1.75,1.68,1.75,34500,1.75
2012-01-06,1.68,1.69,1.66,1.67,9800,1.67
2012-01-05,1.65,1.69,1.65,1.67,9200,1.67
2012-01-04,1.68,1.71,1.65,1.66,5600,1.66
2012-01-03,1.69,1.70,1.65,1.67,16700,1.67
2011-12-30,1.65,1.70,1.60,1.67,25800,1.67
2011-12-29,1.60,1.70,1.60,1.70,19400,1.70
2011-12-28,1.60,1.65,1.56,1.65,29500,1.65
2011-12-27,1.63,1.65,1.56,1.60,18600,1.60
2011-12-23,1.70,1.70,1.60,1.65,23700,1.65
2011-12-22,1.63,1.70,1.63,1.70,18700,1.70
2011-12-21,1.61,1.66,1.61,1.63,18600,1.63
2011-12-20,1.67,1.67,1.55,1.61,18200,1.61
2011-12-19,1.60,1.67,1.60,1.65,14400,1.65
2011-12-16,1.60,1.69,1.60,1.61,13700,1.61
2011-12-15,1.60,1.69,1.55,1.61,32100,1.61
2011-12-14,1.68,1.68,1.60,1.62,11900,1.62
2011-12-13,1.62,1.67,1.59,1.65,32000,1.65
2011-12-12,1.64,1.69,1.60,1.60,34500,1.60
2011-12-09,1.66,1.70,1.63,1.70,3300,1.70
2011-12-08,1.67,1.74,1.63,1.63,17100,1.63
2011-12-07,1.73,1.75,1.63,1.63,10600,1.63
2011-12-06,1.66,1.71,1.62,1.70,17900,1.70
2011-12-05,1.67,1.69,1.62,1.65,33800,1.65
2011-12-02,1.63,1.76,1.63,1.67,26000,1.67
2011-12-01,1.61,1.70,1.61,1.64,10100,1.64
2011-11-30,1.79,1.79,1.62,1.62,7700,1.62
2011-11-29,1.69,1.81,1.69,1.80,4700,1.80
2011-11-28,1.70,1.75,1.63,1.65,16300,1.65
2011-11-25,1.79,1.79,1.70,1.72,13100,1.72
2011-11-23,1.75,1.78,1.75,1.78,2900,1.78
2011-11-22,1.81,1.81,1.75,1.75,2900,1.75
2011-11-21,1.76,1.83,1.70,1.81,17400,1.81
2011-11-18,1.77,1.80,1.75,1.78,7400,1.78
2011-11-17,1.81,1.81,1.77,1.77,9200,1.77
2011-11-16,1.80,1.85,1.75,1.80,28600,1.80
2011-11-15,1.85,1.89,1.76,1.76,178300,1.76
2011-11-14,1.92,1.97,1.81,1.81,39300,1.81
2011-11-11,2.02,2.04,1.90,1.98,25300,1.98
2011-11-10,1.98,2.06,1.96,1.96,4400,1.96
2011-11-09,2.00,2.08,1.90,2.00,49400,2.00
2011-11-08,2.08,2.08,2.00,2.06,9800,2.06
2011-11-07,2.01,2.02,2.00,2.02,10200,2.02
2011-11-04,2.03,2.08,2.02,2.02,2500,2.02
2011-11-03,2.15,2.15,2.00,2.05,11500,2.05
2011-11-02,2.01,2.08,2.00,2.08,6100,2.08
2011-11-01,2.01,2.08,2.00,2.01,18100,2.01
2011-10-31,2.04,2.10,2.02,2.02,20500,2.02
2011-10-28,2.14,2.17,2.07,2.10,13100,2.10
2011-10-27,2.05,2.15,2.03,2.11,25000,2.11
2011-10-26,2.12,2.18,2.06,2.07,12400,2.07
2011-10-25,2.12,2.13,2.05,2.05,16200,2.05
2011-10-24,2.20,2.20,2.04,2.15,25800,2.15
2011-10-21,2.04,2.20,2.00,2.15,44600,2.15
2011-10-20,2.06,2.13,2.04,2.04,11900,2.04
2011-10-19,2.04,2.15,2.04,2.06,22900,2.06
2011-10-18,2.04,2.15,2.04,2.09,3900,2.09
2011-10-17,2.10,2.18,2.04,2.05,15700,2.05
2011-10-14,2.15,2.15,2.03,2.05,9900,2.05
2011-10-13,2.03,2.19,2.03,2.12,12800,2.12
2011-10-12,2.09,2.12,2.03,2.05,8500,2.05
2011-10-11,2.01,2.08,1.99,2.03,12900,2.03
2011-10-10,2.12,2.12,1.90,2.04,14400,2.04
2011-10-07,2.00,2.10,2.00,2.04,4200,2.04
2011-10-06,2.04,2.10,1.95,2.04,37300,2.04
2011-10-05,2.02,2.02,1.90,1.99,16700,1.99
2011-10-04,2.06,2.06,1.90,1.91,36500,1.91
2011-10-03,2.19,2.24,2.05,2.06,11100,2.06
2011-09-30,2.23,2.28,2.15,2.25,12000,2.25
2011-09-29,2.29,2.46,2.14,2.19,19000,2.19
2011-09-28,2.32,2.35,2.25,2.26,13000,2.26
2011-09-27,2.33,2.45,2.25,2.37,31100,2.37
2011-09-26,2.31,2.37,2.25,2.33,39000,2.33
2011-09-23,2.63,2.63,2.28,2.37,15700,2.37
2011-09-22,2.48,2.48,2.26,2.26,37800,2.26
2011-09-21,2.47,2.68,2.47,2.51,11600,2.51
2011-09-20,2.63,2.67,2.53,2.55,23600,2.55
2011-09-19,2.58,2.69,2.54,2.58,19200,2.58
2011-09-16,2.53,2.72,2.53,2.70,11300,2.70
2011-09-15,2.56,2.70,2.45,2.58,12400,2.58
2011-09-14,2.56,2.60,2.47,2.54,22600,2.54
2011-09-13,2.47,2.80,2.47,2.56,19800,2.56
2011-09-12,2.85,2.85,2.50,2.50,89100,2.50
2011-09-09,2.63,2.72,2.55,2.70,8100,2.70
2011-09-08,2.67,2.85,2.50,2.70,60900,2.70
2011-09-07,2.65,2.72,2.63,2.70,49000,2.70
2011-09-06,2.55,2.70,2.55,2.70,7800,2.70
2011-09-02,2.65,2.70,2.55,2.70,15200,2.70
2011-09-01,2.68,2.72,2.58,2.62,22200,2.62
2011-08-31,2.74,2.80,2.55,2.64,29300,2.64
2011-08-30,2.80,2.82,2.62,2.69,24800,2.69
2011-08-29,2.72,2.72,2.61,2.70,8800,2.70
2011-08-26,2.65,2.72,2.61,2.66,5000,2.66
2011-08-25,2.70,2.72,2.62,2.65,7900,2.65
2011-08-24,2.71,2.72,2.62,2.67,11400,2.67
2011-08-23,2.85,2.85,2.61,2.66,17700,2.66
2011-08-22,2.70,2.84,2.56,2.84,37300,2.84
2011-08-19,2.78,2.78,2.50,2.68,20100,2.68
2011-08-18,2.78,2.78,2.50,2.70,23700,2.70
2011-08-17,2.63,2.80,2.60,2.65,15800,2.65
2011-08-16,2.84,2.84,2.60,2.68,39800,2.68
2011-08-15,3.00,3.00,2.73,2.73,34900,2.73
2011-08-12,2.74,2.82,2.65,2.78,15400,2.78
2011-08-11,2.67,2.76,2.60,2.73,15100,2.73
2011-08-10,3.00,3.00,2.60,2.73,37900,2.73
2011-08-09,2.49,3.01,2.17,2.96,121200,2.96
2011-08-08,2.63,2.70,2.01,2.01,101400,2.01
2011-08-05,2.81,2.83,2.70,2.71,26500,2.71
2011-08-04,2.75,2.82,2.63,2.74,49400,2.74
2011-08-03,2.72,2.74,2.63,2.65,15600,2.65
2011-08-02,3.06,3.06,2.54,2.63,157200,2.63
2011-08-01,2.77,3.07,2.73,3.03,64900,3.03
2011-07-29,2.80,2.82,2.62,2.67,38000,2.67
2011-07-28,2.76,2.87,2.70,2.76,7800,2.76
2011-07-27,2.80,2.89,2.71,2.72,15500,2.72
2011-07-26,2.85,2.97,2.80,2.83,6300,2.83
2011-07-25,2.85,2.90,2.85,2.85,11900,2.85
2011-07-22,2.88,2.96,2.86,2.87,6600,2.87
2011-07-21,2.99,2.99,2.92,2.92,8500,2.92
2011-07-20,3.02,3.02,2.90,2.96,12000,2.96
2011-07-19,2.91,2.99,2.90,2.96,28700,2.96
2011-07-18,2.98,2.99,2.90,2.99,9300,2.99
2011-07-15,2.97,2.97,2.93,2.95,4100,2.95
2011-07-14,3.00,3.04,2.94,2.99,29100,2.99
2011-07-13,2.96,3.09,2.93,3.00,21100,3.00
2011-07-12,2.99,3.07,2.99,3.02,6000,3.02
2011-07-11,2.99,3.11,2.90,2.90,12200,2.90
2011-07-08,2.97,3.08,2.92,3.05,22200,3.05
2011-07-07,2.97,3.05,2.75,2.92,35600,2.92
2011-07-06,2.79,3.00,2.79,2.93,26600,2.93
2011-07-05,2.69,2.94,2.57,2.82,28600,2.82
2011-07-01,2.68,2.80,2.55,2.74,27800,2.74
2011-06-30,2.62,2.66,2.58,2.66,11000,2.66
2011-06-29,2.65,2.68,2.53,2.62,21400,2.62
2011-06-28,2.64,2.67,2.59,2.60,18600,2.60
2011-06-27,2.62,2.69,2.52,2.62,31100,2.62
2011-06-24,2.91,2.91,2.59,2.62,32200,2.62
2011-06-23,2.79,2.94,2.79,2.86,8400,2.86
2011-06-22,3.01,3.01,2.75,2.79,29300,2.79
2011-06-21,2.92,3.10,2.92,3.00,8600,3.00
2011-06-20,3.06,3.07,2.93,2.95,39500,2.95
2011-06-17,3.02,3.12,3.02,3.10,4400,3.10
2011-06-16,2.99,3.06,2.99,3.06,3900,3.06
2011-06-15,3.05,3.06,2.96,2.99,17300,2.99
2011-06-14,3.06,3.19,3.05,3.08,5600,3.08
2011-06-13,3.00,3.11,2.95,3.00,18700,3.00
2011-06-10,3.21,3.25,3.01,3.15,10800,3.15
2011-06-09,3.09,3.23,2.91,3.17,15900,3.17
2011-06-08,3.28,3.30,3.10,3.10,10300,3.10
2011-06-07,3.33,3.40,3.25,3.25,22100,3.25
2011-06-06,3.50,3.50,3.28,3.32,22900,3.32
2011-06-03,3.54,3.60,3.45,3.51,4500,3.51
2011-06-02,3.85,3.85,3.37,3.57,56500,3.57
2011-06-01,3.48,3.69,3.45,3.65,31000,3.65
2011-05-31,3.50,3.50,3.44,3.45,25500,3.45
2011-05-27,3.40,3.44,3.38,3.39,9400,3.39
2011-05-26,3.42,3.44,3.34,3.44,32500,3.44
2011-05-25,3.51,3.51,3.43,3.43,7900,3.43
2011-05-24,3.51,3.54,3.50,3.50,18600,3.50
2011-05-23,3.52,3.59,3.51,3.52,11600,3.52
2011-05-20,3.53,3.59,3.52,3.58,4700,3.58
2011-05-19,3.52,3.65,3.52,3.58,1900,3.58
2011-05-18,3.52,3.65,3.52,3.54,9000,3.54
2011-05-17,3.53,3.78,3.44,3.57,26200,3.57
2011-05-16,3.70,3.73,3.50,3.53,7600,3.53
2011-05-13,3.65,3.78,3.65,3.75,20000,3.75
2011-05-12,3.64,3.98,3.46,3.66,71600,3.66
2011-05-11,3.94,4.03,3.94,3.99,5100,3.99
2011-05-10,3.98,4.00,3.90,3.96,6500,3.96
2011-05-09,4.12,4.17,3.90,3.96,11000,3.96
2011-05-06,4.26,4.31,4.02,4.13,35000,4.13
2011-05-05,4.28,4.35,4.28,4.34,6800,4.34
2011-05-04,4.39,4.39,4.26,4.28,30100,4.28
2011-05-03,4.34,4.46,4.34,4.40,7100,4.40
2011-05-02,4.52,4.55,4.25,4.33,29000,4.33
2011-04-29,4.46,4.48,4.35,4.42,18000,4.42
2011-04-28,4.57,4.57,4.28,4.28,24000,4.28
2011-04-27,4.44,4.59,4.40,4.49,53000,4.49
2011-04-26,4.28,4.41,4.23,4.40,38600,4.40
2011-04-25,4.19,4.26,4.15,4.22,24300,4.22
2011-04-21,4.09,4.18,4.00,4.14,11700,4.14
2011-04-20,4.24,4.24,4.00,4.11,15600,4.11
2011-04-19,4.06,4.24,4.04,4.23,11800,4.23
2011-04-18,4.18,4.20,4.00,4.03,18100,4.03
2011-04-15,4.24,4.30,4.16,4.22,26800,4.22
2011-04-14,4.18,4.24,4.10,4.24,28000,4.24
2011-04-13,4.07,4.19,4.03,4.12,10900,4.12
2011-04-12,4.02,4.14,3.96,4.10,17500,4.10
2011-04-11,4.10,4.15,4.03,4.06,26800,4.06
2011-04-08,4.04,4.10,3.91,4.09,14300,4.09
2011-04-07,3.98,4.02,3.96,4.01,17900,4.01
2011-04-06,4.01,4.01,3.95,3.96,6700,3.96
2011-04-05,3.93,3.99,3.87,3.99,6500,3.99
2011-04-04,3.96,3.98,3.88,3.95,13900,3.95
2011-04-01,3.87,3.91,3.82,3.91,8500,3.91
2011-03-31,3.81,3.91,3.81,3.91,8500,3.91
2011-03-30,3.91,3.94,3.85,3.85,8400,3.85
2011-03-29,3.86,3.95,3.86,3.88,8800,3.88
2011-03-28,3.86,4.00,3.86,3.90,15700,3.90
2011-03-25,3.91,4.05,3.85,3.91,16200,3.91
2011-03-24,3.96,3.98,3.92,3.93,4300,3.93
2011-03-23,3.97,4.01,3.95,3.95,12300,3.95
2011-03-22,4.00,4.10,3.99,3.99,18500,3.99
2011-03-21,3.98,4.10,3.98,4.06,68100,4.06
2011-03-18,3.91,4.00,3.80,3.94,20000,3.94
2011-03-17,3.75,3.99,3.75,3.89,92200,3.89
2011-03-16,3.76,3.90,3.75,3.76,29300,3.76
2011-03-15,3.65,3.81,3.63,3.78,40100,3.78
2011-03-14,3.77,3.77,3.69,3.72,7100,3.72
2011-03-11,3.72,3.75,3.66,3.75,6000,3.75
2011-03-10,3.73,3.73,3.65,3.72,10000,3.72
2011-03-09,3.78,3.78,3.66,3.73,30600,3.73
2011-03-08,3.73,3.75,3.69,3.74,19900,3.74
2011-03-07,3.85,3.85,3.64,3.73,30100,3.73
2011-03-04,3.66,3.88,3.65,3.88,38900,3.88
2011-03-03,3.68,3.68,3.60,3.67,7700,3.67
2011-03-02,3.66,3.69,3.61,3.69,5100,3.69
2011-03-01,3.65,3.67,3.60,3.62,9400,3.62
2011-02-28,3.60,3.67,3.60,3.67,21900,3.67
2011-02-25,3.54,3.64,3.54,3.64,19300,3.64
2011-02-24,3.42,3.55,3.42,3.55,3400,3.55
2011-02-23,3.55,3.55,3.42,3.42,16900,3.42
2011-02-22,3.55,3.60,3.52,3.59,17200,3.59
2011-02-18,3.72,3.72,3.55,3.60,27800,3.60
2011-02-17,3.77,3.80,3.70,3.76,47100,3.76
2011-02-16,3.61,3.80,3.54,3.75,69700,3.75
2011-02-15,3.59,3.66,3.58,3.63,24100,3.63
2011-02-14,3.58,3.60,3.55,3.60,35100,3.60
2011-02-11,3.50,3.60,3.50,3.60,18300,3.60
2011-02-10,3.50,3.60,3.50,3.51,22600,3.51
2011-02-09,3.60,3.60,3.50,3.53,18500,3.53
2011-02-08,3.51,3.60,3.51,3.59,11200,3.59
2011-02-07,3.57,3.59,3.53,3.54,15400,3.54
2011-02-04,3.48,3.59,3.48,3.59,37500,3.59
2011-02-03,3.54,3.54,3.50,3.50,29200,3.50
2011-02-02,3.51,3.58,3.43,3.51,37400,3.51
2011-02-01,3.48,3.53,3.42,3.53,38400,3.53
2011-01-31,3.38,3.45,3.32,3.42,18500,3.42
2011-01-28,3.47,3.47,3.35,3.39,18000,3.39
2011-01-27,3.39,3.40,3.28,3.40,27500,3.40
